objectid,geom_length,cnn_sgmt_pkey,street_name,street_type,street_layer,full_street_name,class_code,gis_length_miles,duel_car_way_yn,duel_car_way_id,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,shape_length,corrected_length_miles,direction,from_intrsctn,to_intrsctn,geom,data_as_of,data_loaded_at
1,121.45757413678548,1055000,20TH,ST,STREETS,20TH ST,5,0.0597357663741,NO,0,24130000,24144000,0,0.0597357663741,,20TH ST/CAPP ST,20TH ST/MISSION ST,"LINESTRING (-122.417964705 37.758698273, -122.419052607 37.758632567)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
10,124.01896706168962,1360000,24TH,ST,STREETS,24TH ST,5,0.0610013244458,NO,0,25647000,25649000,0,0.0610013244458,,24TH ST/VICKSBURG ST,24TH ST/SANCHEZ ST,"LINESTRING (-122.42854785 37.751637799, -122.429658709 37.751570854)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
100,78.8357262926522,4812101,DIVISADERO,ST,STREETS,DIVISADERO ST,5,0.0386105198221,YES,171,26621000,26805000,0,0.02389496746485,S/E,DIVISADERO ST/GEARY BLVD,DIVISADERO ST/GARDEN ST,"LINESTRING (-122.439480382 37.783308487, -122.439544517 37.783382627, -122.439638735 37.783846586)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1000,225.99263791457136,5688000,FOLSOM,ST,STREETS,FOLSOM ST,5,0.110674280711,NO,0,24336000,24335000,0,0.110674280711,,14TH ST/FOLSOM ST,15TH ST/FOLSOM ST,"LINESTRING (-122.415613781 37.768537387, -122.415462128 37.766937056)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1000,225.99263791457136,5688000,FOLSOM,ST,STREETS,FOLSOM ST,5,0.110674280711,NO,0,24336000,24335000,0,0.110674280711,,14TH ST/FOLSOM ST,15TH ST/FOLSOM ST,"LINESTRING (-122.415613781 37.768537387, -122.415462128 37.766937056)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1000,225.99263791457136,5688000,FOLSOM,ST,STREETS,FOLSOM ST,5,0.110674280711,NO,0,24336000,24335000,0,0.110674280711,,14TH ST/FOLSOM ST,15TH ST/FOLSOM ST,"LINESTRING (-122.415613781 37.768537387, -122.415462128 37.766937056)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1000,225.99263791457136,5688000,FOLSOM,ST,STREETS,FOLSOM ST,5,0.110674280711,NO,0,24336000,24335000,0,0.110674280711,,14TH ST/FOLSOM ST,15TH ST/FOLSOM ST,"LINESTRING (-122.415613781 37.768537387, -122.415462128 37.766937056)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1000,225.99263791457136,5688000,FOLSOM,ST,STREETS,FOLSOM ST,5,0.110674280711,NO,0,24336000,24335000,0,0.110674280711,,14TH ST/FOLSOM ST,15TH ST/FOLSOM ST,"LINESTRING (-122.415613781 37.768537387, -122.415462128 37.766937056)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1001,121.15324760918571,8365101,LINCOLN,WAY,STREETS,LINCOLN WAY,5,0.0595749271929,YES,565,27436000,27439000,0,0.0299344552121,S/E,27TH AVE/LINCOLN WAY,28TH AVE/LINCOLN WAY,"LINESTRING (-122.48583103 37.76506861, -122.485947487 37.765027918, -122.486762752 37.764990098, -122.486902421 37.76501891)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1001,121.15324760918571,8365101,LINCOLN,WAY,STREETS,LINCOLN WAY,5,0.0595749271929,YES,565,27436000,27439000,0,0.0299344552121,S/E,27TH AVE/LINCOLN WAY,28TH AVE/LINCOLN WAY,"LINESTRING (-122.48583103 37.76506861, -122.485947487 37.765027918, -122.486762752 37.764990098, -122.486902421 37.76501891)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1001,121.15324760918571,8365101,LINCOLN,WAY,STREETS,LINCOLN WAY,5,0.0595749271929,YES,565,27436000,27439000,0,0.0299344552121,S/E,27TH AVE/LINCOLN WAY,28TH AVE/LINCOLN WAY,"LINESTRING (-122.48583103 37.76506861, -122.485947487 37.765027918, -122.486762752 37.764990098, -122.486902421 37.76501891)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1001,121.15324760918571,8365101,LINCOLN,WAY,STREETS,LINCOLN WAY,5,0.0595749271929,YES,565,27436000,27439000,0,0.0299344552121,S/E,27TH AVE/LINCOLN WAY,28TH AVE/LINCOLN WAY,"LINESTRING (-122.48583103 37.76506861, -122.485947487 37.765027918, -122.486762752 37.764990098, -122.486902421 37.76501891)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1001,121.15324760918571,8365101,LINCOLN,WAY,STREETS,LINCOLN WAY,5,0.0595749271929,YES,565,27436000,27439000,0,0.0299344552121,S/E,27TH AVE/LINCOLN WAY,28TH AVE/LINCOLN WAY,"LINESTRING (-122.48583103 37.76506861, -122.485947487 37.765027918, -122.486762752 37.764990098, -122.486902421 37.76501891)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1002,278.74068095761925,8754201,MARKET,ST,STREETS,MARKET ST,5,0.136774314921,YES,18,30746000,30748000,0,0.04573577848505,N/W,10TH ST/FELL ST/MARKET ST/POLK ST,MARKET ST/SOUTH VAN NESS AVE/VAN NESS AVE,"LINESTRING (-122.417501463 37.776540894, -122.417628888 37.776493785, -122.419167737 37.775278062, -122.419255606 37.775147074)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1002,278.74068095761925,8754201,MARKET,ST,STREETS,MARKET ST,5,0.136774314921,YES,18,30746000,30748000,0,0.04573577848505,N/W,10TH ST/FELL ST/MARKET ST/POLK ST,MARKET ST/SOUTH VAN NESS AVE/VAN NESS AVE,"LINESTRING (-122.417501463 37.776540894, -122.417628888 37.776493785, -122.419167737 37.775278062, -122.419255606 37.775147074)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1002,278.74068095761925,8754201,MARKET,ST,STREETS,MARKET ST,5,0.136774314921,YES,18,30746000,30748000,0,0.04573577848505,N/W,10TH ST/FELL ST/MARKET ST/POLK ST,MARKET ST/SOUTH VAN NESS AVE/VAN NESS AVE,"LINESTRING (-122.417501463 37.776540894, -122.417628888 37.776493785, -122.419167737 37.775278062, -122.419255606 37.775147074)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1002,278.74068095761925,8754201,MARKET,ST,STREETS,MARKET ST,5,0.136774314921,YES,18,30746000,30748000,0,0.04573577848505,N/W,10TH ST/FELL ST/MARKET ST/POLK ST,MARKET ST/SOUTH VAN NESS AVE/VAN NESS AVE,"LINESTRING (-122.417501463 37.776540894, -122.417628888 37.776493785, -122.419167737 37.775278062, -122.419255606 37.775147074)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1002,278.74068095761925,8754201,MARKET,ST,STREETS,MARKET ST,5,0.136774314921,YES,18,30746000,30748000,0,0.04573577848505,N/W,10TH ST/FELL ST/MARKET ST/POLK ST,MARKET ST/SOUTH VAN NESS AVE/VAN NESS AVE,"LINESTRING (-122.417501463 37.776540894, -122.417628888 37.776493785, -122.419167737 37.775278062, -122.419255606 37.775147074)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1003,112.75885919907128,6129101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0554330259278,YES,64,22188000,52262000,0,0.02772551284995,N/W,GENEVA AVE/LOUISBURG ST,GENEVA AVE/I-280 S OFF RAMP/I-280 S ON RAMP,"LINESTRING (-122.449295743 37.721752412, -122.449178448 37.721751459, -122.448533142 37.721492239, -122.448410648 37.721396869)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1003,112.75885919907128,6129101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0554330259278,YES,64,22188000,52262000,0,0.02772551284995,N/W,GENEVA AVE/LOUISBURG ST,GENEVA AVE/I-280 S OFF RAMP/I-280 S ON RAMP,"LINESTRING (-122.449295743 37.721752412, -122.449178448 37.721751459, -122.448533142 37.721492239, -122.448410648 37.721396869)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1003,112.75885919907128,6129101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0554330259278,YES,64,22188000,52262000,0,0.02772551284995,N/W,GENEVA AVE/LOUISBURG ST,GENEVA AVE/I-280 S OFF RAMP/I-280 S ON RAMP,"LINESTRING (-122.449295743 37.721752412, -122.449178448 37.721751459, -122.448533142 37.721492239, -122.448410648 37.721396869)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1003,112.75885919907128,6129101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0554330259278,YES,64,22188000,52262000,0,0.02772551284995,N/W,GENEVA AVE/LOUISBURG ST,GENEVA AVE/I-280 S OFF RAMP/I-280 S ON RAMP,"LINESTRING (-122.449295743 37.721752412, -122.449178448 37.721751459, -122.448533142 37.721492239, -122.448410648 37.721396869)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1003,112.75885919907128,6129101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0554330259278,YES,64,22188000,52262000,0,0.02772551284995,N/W,GENEVA AVE/LOUISBURG ST,GENEVA AVE/I-280 S OFF RAMP/I-280 S ON RAMP,"LINESTRING (-122.449295743 37.721752412, -122.449178448 37.721751459, -122.448533142 37.721492239, -122.448410648 37.721396869)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1004,105.78239348170975,6128101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0520020739598,YES,65,22190000,22188000,0,0.02599435456905,N/W,GENEVA AVE/HOWTH ST,GENEVA AVE/LOUISBURG ST,"LINESTRING (-122.450118225 37.722082795, -122.450002384 37.722082426, -122.449343413 37.721817725, -122.449295743 37.721752412)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1004,105.78239348170975,6128101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0520020739598,YES,65,22190000,22188000,0,0.02599435456905,N/W,GENEVA AVE/HOWTH ST,GENEVA AVE/LOUISBURG ST,"LINESTRING (-122.450118225 37.722082795, -122.450002384 37.722082426, -122.449343413 37.721817725, -122.449295743 37.721752412)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1004,105.78239348170975,6128101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0520020739598,YES,65,22190000,22188000,0,0.02599435456905,N/W,GENEVA AVE/HOWTH ST,GENEVA AVE/LOUISBURG ST,"LINESTRING (-122.450118225 37.722082795, -122.450002384 37.722082426, -122.449343413 37.721817725, -122.449295743 37.721752412)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1004,105.78239348170975,6128101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0520020739598,YES,65,22190000,22188000,0,0.02599435456905,N/W,GENEVA AVE/HOWTH ST,GENEVA AVE/LOUISBURG ST,"LINESTRING (-122.450118225 37.722082795, -122.450002384 37.722082426, -122.449343413 37.721817725, -122.449295743 37.721752412)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1004,105.78239348170975,6128101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.0520020739598,YES,65,22190000,22188000,0,0.02599435456905,N/W,GENEVA AVE/HOWTH ST,GENEVA AVE/LOUISBURG ST,"LINESTRING (-122.450118225 37.722082795, -122.450002384 37.722082426, -122.449343413 37.721817725, -122.449295743 37.721752412)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1005,287.73515270065684,6127201,GENEVA,AVE,STREETS,GENEVA AVE,5,0.141432435263,YES,66,22192000,22190000,0,0.0629448701415,S/E,FRIDA KAHLO WAY/GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.452331561 37.723080244, -122.451885712 37.722747229, -122.45024381 37.722079999, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1005,287.73515270065684,6127201,GENEVA,AVE,STREETS,GENEVA AVE,5,0.141432435263,YES,66,22192000,22190000,0,0.0629448701415,S/E,FRIDA KAHLO WAY/GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.452331561 37.723080244, -122.451885712 37.722747229, -122.45024381 37.722079999, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1005,287.73515270065684,6127201,GENEVA,AVE,STREETS,GENEVA AVE,5,0.141432435263,YES,66,22192000,22190000,0,0.0629448701415,S/E,FRIDA KAHLO WAY/GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.452331561 37.723080244, -122.451885712 37.722747229, -122.45024381 37.722079999, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1005,287.73515270065684,6127201,GENEVA,AVE,STREETS,GENEVA AVE,5,0.141432435263,YES,66,22192000,22190000,0,0.0629448701415,S/E,FRIDA KAHLO WAY/GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.452331561 37.723080244, -122.451885712 37.722747229, -122.45024381 37.722079999, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1005,287.73515270065684,6127201,GENEVA,AVE,STREETS,GENEVA AVE,5,0.141432435263,YES,66,22192000,22190000,0,0.0629448701415,S/E,FRIDA KAHLO WAY/GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.452331561 37.723080244, -122.451885712 37.722747229, -122.45024381 37.722079999, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1006,224.59458410198644,6127101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.110347045303,YES,66,33430000,22190000,0,0.0629448701415,N/W,GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.451595166 37.722991785, -122.451588762 37.722752535, -122.451503033 37.722687756, -122.450188797 37.722164561, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1006,224.59458410198644,6127101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.110347045303,YES,66,33430000,22190000,0,0.0629448701415,N/W,GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.451595166 37.722991785, -122.451588762 37.722752535, -122.451503033 37.722687756, -122.450188797 37.722164561, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1006,224.59458410198644,6127101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.110347045303,YES,66,33430000,22190000,0,0.0629448701415,N/W,GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.451595166 37.722991785, -122.451588762 37.722752535, -122.451503033 37.722687756, -122.450188797 37.722164561, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1006,224.59458410198644,6127101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.110347045303,YES,66,33430000,22190000,0,0.0629448701415,N/W,GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.451595166 37.722991785, -122.451588762 37.722752535, -122.451503033 37.722687756, -122.450188797 37.722164561, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1006,224.59458410198644,6127101,GENEVA,AVE,STREETS,GENEVA AVE,5,0.110347045303,YES,66,33430000,22190000,0,0.0629448701415,N/W,GENEVA AVE/OCEAN AVE,GENEVA AVE/HOWTH ST,"LINESTRING (-122.451595166 37.722991785, -122.451588762 37.722752535, -122.451503033 37.722687756, -122.450188797 37.722164561, -122.450118225 37.722082795)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1007,186.48202643194668,6118000,GEARY,ST,STREETS,GEARY ST,5,0.091675721105,NO,0,25182000,25197000,0,0.091675721105,,GEARY ST/POLK ST,GEARY BLVD/GEARY ST/VAN NESS AVE,"LINESTRING (-122.419738734 37.785892901, -122.421393308 37.785685802)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1007,186.48202643194668,6118000,GEARY,ST,STREETS,GEARY ST,5,0.091675721105,NO,0,25182000,25197000,0,0.091675721105,,GEARY ST/POLK ST,GEARY BLVD/GEARY ST/VAN NESS AVE,"LINESTRING (-122.419738734 37.785892901, -122.421393308 37.785685802)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1007,186.48202643194668,6118000,GEARY,ST,STREETS,GEARY ST,5,0.091675721105,NO,0,25182000,25197000,0,0.091675721105,,GEARY ST/POLK ST,GEARY BLVD/GEARY ST/VAN NESS AVE,"LINESTRING (-122.419738734 37.785892901, -122.421393308 37.785685802)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1007,186.48202643194668,6118000,GEARY,ST,STREETS,GEARY ST,5,0.091675721105,NO,0,25182000,25197000,0,0.091675721105,,GEARY ST/POLK ST,GEARY BLVD/GEARY ST/VAN NESS AVE,"LINESTRING (-122.419738734 37.785892901, -122.421393308 37.785685802)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1007,186.48202643194668,6118000,GEARY,ST,STREETS,GEARY ST,5,0.091675721105,NO,0,25182000,25197000,0,0.091675721105,,GEARY ST/POLK ST,GEARY BLVD/GEARY ST/VAN NESS AVE,"LINESTRING (-122.419738734 37.785892901, -122.421393308 37.785685802)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1008,186.07217695584808,6117000,GEARY,ST,STREETS,GEARY ST,5,0.0914738448259,NO,0,25170000,25182000,0,0.0914738448259,,GEARY ST/LARKIN ST,GEARY ST/POLK ST,"LINESTRING (-122.418088098 37.78610104, -122.419738734 37.785892901)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1008,186.07217695584808,6117000,GEARY,ST,STREETS,GEARY ST,5,0.0914738448259,NO,0,25170000,25182000,0,0.0914738448259,,GEARY ST/LARKIN ST,GEARY ST/POLK ST,"LINESTRING (-122.418088098 37.78610104, -122.419738734 37.785892901)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1008,186.07217695584808,6117000,GEARY,ST,STREETS,GEARY ST,5,0.0914738448259,NO,0,25170000,25182000,0,0.0914738448259,,GEARY ST/LARKIN ST,GEARY ST/POLK ST,"LINESTRING (-122.418088098 37.78610104, -122.419738734 37.785892901)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1008,186.07217695584808,6117000,GEARY,ST,STREETS,GEARY ST,5,0.0914738448259,NO,0,25170000,25182000,0,0.0914738448259,,GEARY ST/LARKIN ST,GEARY ST/POLK ST,"LINESTRING (-122.418088098 37.78610104, -122.419738734 37.785892901)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1008,186.07217695584808,6117000,GEARY,ST,STREETS,GEARY ST,5,0.0914738448259,NO,0,25170000,25182000,0,0.0914738448259,,GEARY ST/LARKIN ST,GEARY ST/POLK ST,"LINESTRING (-122.418088098 37.78610104, -122.419738734 37.785892901)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1009,184.81362096537592,6116000,GEARY,ST,STREETS,GEARY ST,5,0.0908546534867,NO,0,25166000,25170000,0,0.0908546534867,,GEARY ST/HYDE ST,GEARY ST/LARKIN ST,"LINESTRING (-122.416449123 37.786310219, -122.418088098 37.78610104)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1009,184.81362096537592,6116000,GEARY,ST,STREETS,GEARY ST,5,0.0908546534867,NO,0,25166000,25170000,0,0.0908546534867,,GEARY ST/HYDE ST,GEARY ST/LARKIN ST,"LINESTRING (-122.416449123 37.786310219, -122.418088098 37.78610104)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1009,184.81362096537592,6116000,GEARY,ST,STREETS,GEARY ST,5,0.0908546534867,NO,0,25166000,25170000,0,0.0908546534867,,GEARY ST/HYDE ST,GEARY ST/LARKIN ST,"LINESTRING (-122.416449123 37.786310219, -122.418088098 37.78610104)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1009,184.81362096537592,6116000,GEARY,ST,STREETS,GEARY ST,5,0.0908546534867,NO,0,25166000,25170000,0,0.0908546534867,,GEARY ST/HYDE ST,GEARY ST/LARKIN ST,"LINESTRING (-122.416449123 37.786310219, -122.418088098 37.78610104)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1009,184.81362096537592,6116000,GEARY,ST,STREETS,GEARY ST,5,0.0908546534867,NO,0,25166000,25170000,0,0.0908546534867,,GEARY ST/HYDE ST,GEARY ST/LARKIN ST,"LINESTRING (-122.416449123 37.786310219, -122.418088098 37.78610104)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
101,276.18643604726145,10268101,PARK PRESIDIO,BLVD,STREETS,PARK PRESIDIO BLVD,5,0.135248848017,YES,285,27483000,27475000,0,0.067633740086,S/E,GEARY BLVD/PARK PRESIDIO BLVD,ANZA ST/PARK PRESIDIO BLVD,"LINESTRING (-122.472312256 37.780655828, -122.472381265 37.780515824, -122.472262497 37.778839738, -122.472173619 37.778728021)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1010,185.2077238107272,6115000,GEARY,ST,STREETS,GEARY ST,5,0.0910481405875,NO,0,25154000,25166000,0,0.0910481405875,,GEARY ST/LEAVENWORTH ST,GEARY ST/HYDE ST,"LINESTRING (-122.414806649 37.78651982, -122.416449123 37.786310219)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1010,185.2077238107272,6115000,GEARY,ST,STREETS,GEARY ST,5,0.0910481405875,NO,0,25154000,25166000,0,0.0910481405875,,GEARY ST/LEAVENWORTH ST,GEARY ST/HYDE ST,"LINESTRING (-122.414806649 37.78651982, -122.416449123 37.786310219)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1010,185.2077238107272,6115000,GEARY,ST,STREETS,GEARY ST,5,0.0910481405875,NO,0,25154000,25166000,0,0.0910481405875,,GEARY ST/LEAVENWORTH ST,GEARY ST/HYDE ST,"LINESTRING (-122.414806649 37.78651982, -122.416449123 37.786310219)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1010,185.2077238107272,6115000,GEARY,ST,STREETS,GEARY ST,5,0.0910481405875,NO,0,25154000,25166000,0,0.0910481405875,,GEARY ST/LEAVENWORTH ST,GEARY ST/HYDE ST,"LINESTRING (-122.414806649 37.78651982, -122.416449123 37.786310219)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1010,185.2077238107272,6115000,GEARY,ST,STREETS,GEARY ST,5,0.0910481405875,NO,0,25154000,25166000,0,0.0910481405875,,GEARY ST/LEAVENWORTH ST,GEARY ST/HYDE ST,"LINESTRING (-122.414806649 37.78651982, -122.416449123 37.786310219)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1011,185.51503868775595,6114000,GEARY,ST,STREETS,GEARY ST,5,0.0911989611948,NO,0,24960000,25154000,0,0.0911989611948,,GEARY ST/JONES ST,GEARY ST/LEAVENWORTH ST,"LINESTRING (-122.413161445 37.786729745, -122.414806649 37.78651982)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1011,185.51503868775595,6114000,GEARY,ST,STREETS,GEARY ST,5,0.0911989611948,NO,0,24960000,25154000,0,0.0911989611948,,GEARY ST/JONES ST,GEARY ST/LEAVENWORTH ST,"LINESTRING (-122.413161445 37.786729745, -122.414806649 37.78651982)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1011,185.51503868775595,6114000,GEARY,ST,STREETS,GEARY ST,5,0.0911989611948,NO,0,24960000,25154000,0,0.0911989611948,,GEARY ST/JONES ST,GEARY ST/LEAVENWORTH ST,"LINESTRING (-122.413161445 37.786729745, -122.414806649 37.78651982)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1011,185.51503868775595,6114000,GEARY,ST,STREETS,GEARY ST,5,0.0911989611948,NO,0,24960000,25154000,0,0.0911989611948,,GEARY ST/JONES ST,GEARY ST/LEAVENWORTH ST,"LINESTRING (-122.413161445 37.786729745, -122.414806649 37.78651982)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1011,185.51503868775595,6114000,GEARY,ST,STREETS,GEARY ST,5,0.0911989611948,NO,0,24960000,25154000,0,0.0911989611948,,GEARY ST/JONES ST,GEARY ST/LEAVENWORTH ST,"LINESTRING (-122.413161445 37.786729745, -122.414806649 37.78651982)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1012,92.592762935306865,6113000,GEARY,ST,STREETS,GEARY ST,5,0.0455183909554,NO,0,24962000,24960000,0,0.0455183909554,,GEARY ST/SHANNON ST,GEARY ST/JONES ST,"LINESTRING (-122.412340302 37.786834512, -122.413161445 37.786729745)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1012,92.592762935306865,6113000,GEARY,ST,STREETS,GEARY ST,5,0.0455183909554,NO,0,24962000,24960000,0,0.0455183909554,,GEARY ST/SHANNON ST,GEARY ST/JONES ST,"LINESTRING (-122.412340302 37.786834512, -122.413161445 37.786729745)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1012,92.592762935306865,6113000,GEARY,ST,STREETS,GEARY ST,5,0.0455183909554,NO,0,24962000,24960000,0,0.0455183909554,,GEARY ST/SHANNON ST,GEARY ST/JONES ST,"LINESTRING (-122.412340302 37.786834512, -122.413161445 37.786729745)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1012,92.592762935306865,6113000,GEARY,ST,STREETS,GEARY ST,5,0.0455183909554,NO,0,24962000,24960000,0,0.0455183909554,,GEARY ST/SHANNON ST,GEARY ST/JONES ST,"LINESTRING (-122.412340302 37.786834512, -122.413161445 37.786729745)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1012,92.592762935306865,6113000,GEARY,ST,STREETS,GEARY ST,5,0.0455183909554,NO,0,24962000,24960000,0,0.0455183909554,,GEARY ST/SHANNON ST,GEARY ST/JONES ST,"LINESTRING (-122.412340302 37.786834512, -122.413161445 37.786729745)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1013,92.975016213283922,6112000,GEARY,ST,STREETS,GEARY ST,5,0.0457062417404,NO,0,24941000,24962000,0,0.0457062417404,,GEARY ST/TAYLOR ST,GEARY ST/SHANNON ST,"LINESTRING (-122.411515768 37.786939706, -122.412340302 37.786834512)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1013,92.975016213283922,6112000,GEARY,ST,STREETS,GEARY ST,5,0.0457062417404,NO,0,24941000,24962000,0,0.0457062417404,,GEARY ST/TAYLOR ST,GEARY ST/SHANNON ST,"LINESTRING (-122.411515768 37.786939706, -122.412340302 37.786834512)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1013,92.975016213283922,6112000,GEARY,ST,STREETS,GEARY ST,5,0.0457062417404,NO,0,24941000,24962000,0,0.0457062417404,,GEARY ST/TAYLOR ST,GEARY ST/SHANNON ST,"LINESTRING (-122.411515768 37.786939706, -122.412340302 37.786834512)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
1013,92.975016213283922,6112000,GEARY,ST,STREETS,GEARY ST,5,0.0457062417404,NO,0,24941000,24962000,0,0.0457062417404,,GEARY ST/TAYLOR ST,GEARY ST/SHANNON ST,"LINESTRING (-122.411515768 37.786939706, -122.412340302 37.786834512)",2024/08/20 02:06:40 PM,2024/08/20 02:22:43 PM
